"Property","en","pt-br","pt","pl","nl","lt","ja","it","id","hr","hi","gl","fr","fi","es-es","el","de-de","cs","ca","bg","sk","sh","ru","sr","sr-cs","ro","uk","tr","zh-tw","zh-cn"
"account_id","Account Address","ID da conta","ID de Conta","ID konta","Rekening-ID","Sąskaitos ID","アカウントID","Account ID","Account ID","Račun ID","खाता ID","ID da conta","ID de compte","Tilinumero","ID de Cuenta","ID λογαριασμού","Konto-ID","ID účtu","ID de compte","Сметка ID","ID účtu","Račun ID","ID аккаунта","ID Налога","ID Naloga","ID-ul contului","ID аккаунта","Hesap No.","帳戶 ID","帐户 ID"
"account_info","Account Info","Informações da Conta","Informação de Conta","Dane konta","Rekening Informatie","Sąskaitos informacija","アカウント情報","Info account","Info Catatan","Podaci računa","खाता जानकारी","Información da conta","Infos sur le compte","Tilin tiedot","Información de Cuenta","Πληροφορίες λογαριασμού","Kontoinformationen","Informace o účtu","Informació del compte","Информация за сметка","Informácie o účte","Podaci računa","Информация об аккаунте","Информације Налога","Informacije Naloga","Informații despre cont","Інформація про аккаунт","Hesap Bilgisi","帳戶信息","帐户信息"
"account_no_assets","No tokens found by this account.","Não foram encontrados ativos para esta conta.","Não se encontraram ativos para esta conta.","To konto nie posiada aktywów.","Geen activa gevonden welke door deze account wordt uitgegeven.","Pagal šią sąskaitą aktyvas nerastas.","このアカウントには資産を見つけられませんでした。","Nessun asset trovato da questo account.","Tidak ada aset yang ditemukan oleh catatan ini.","Uz ovaj račun nisu pronađeni asseti.","इस खाते द्वारा कोई संपत्ति नहीं पायी गयी।","Non se atoparon activos para esta conta.","Aucun actif trouvé sur ce compte.","Tällä tilillä ei ole arvopapereita.","No se han encontrado activos para esta cuenta.","Δε βρέθηκαν μετοχές για αυτό το λογαριασμό.","Keine Assets in diesem Konto gefunden.","Žádná aktiva pro tento účet.","No es troben actius en aquest compte.","Сметката няма активи","Žiadny majetok sa našiel pre tento účet.","Uz ovaj račun nisu pronađeni asseti.","Не найдены активы для заданного аккаунта.","Уз овај налог нису пронађени ассет-и.","Uz ovaj nalog nisu pronađeni asset-i.","Nu s-au găsit active corespondente acestui cont","Не знайдені активи для заданого аккаунта.","Bu hesaba ağit hiçbir ürün bulunmamaktadır ","該帳戶沒有資產。","该帐户没有资产。"
"account_qr_code","Account QR Code","Código QR da conta","Código QR da Conta","QR-kod konta","Account QR-code","Sąskaitos QR kodas","アカウントのQR コード",,"Kode QR Rekening","QR Kod Računa","खाता QR कोड",,"QR code de ce compte","Tilin QR-koodi","Código QR de la Cuenta","Κώδικας QR λογαριασμού","Konto-QR-Code","QR kód účtu","Codi QR del compte","Сметка QR код","QR kód účtu","QR Kod Računa","QR-код аккаунта","QR Код Налога","QR Kod Naloga","Codul QR al acestui cont","QR-код аккаунта","Hesap QR Kodu","帳戶 QR 碼","帐户 QR 码"
"actions","Actions","Ações","Ações","Działania","Acties","Veiksmai","アクション","Azioni","Tindakan","Akcije","क्रिया","Accións",,"Toiminnot","Acciones","Ενέργειες","Aktionen","Akce","Accions","Действие","Akcie","Akcije","Действия","Акције","Akcije","Acțiuni","Дії","işlemler","操作","操作"
"address","Address","Endereço","Endereço","Adres","Adres","Adresas","アドレス","Indirizzo","Alamat","Adrese","पता","Dirección","Adresse","Osoite","Dirección","Διεύθυνση","Adresse","Adresa","Adreça","Действия","Adresa","Adrese","Адрес","Адреса","Adresa","Adresă","Адреса","Adres","地址","地址"
"add_answer","Add Answer","Adicionar Resposta","Adicionar resposta","Dodaj pytanie","Antwoord toevoegen","Pridėti atsakymą","回答を追加","Aggiungi risposta","Tambahkan jawaban","Dodaj odgovor","उत्तर जोड़ें","Engadir resposta","Ajouter une réponse","Lisää vastaus","Añadir respuesta","Προσθήκη απάντησης","Antwort hinzufügen","Přidat odpověď","Afegir una resposta","Добави отговор","Pridať odpoveď","Dodaj odgovor","Добавить Ответ","Додај Одговор","Dodaj Odgovor","Adaugă răspuns","Додати відповідь","Cevap Ekle","添加答案","添加答案"
"add_asset","Add Token","Adicionar Ativo","Adicionar Ativo","Dodaj aktywo","Activa toevoegen","Pridėti aktyvą","資産追加","Aggiungi Asset","Tambahkan aset","Dodaj asset","संपत्ति जोड़ें","Engadir activo","Ajouter un actif","Lisää arvopaperi","Añadir Activo","Προσθήκη μετοχής","Asset hinzufügen","Přidat aktivum","Afegir actiu","Добави актив","Pridať majetok","Dodaj asset","Добавить актив","Додај Асет","Dodajte Asset","Adaugă activă","Додати актив","Ürün ekle","添加資產","添加资产"
"add_as_contact","Add as Contact","Adicionar como Contato","Adicionar como Contato","Dodaj jako kontakt","Toevoegen als contactpersoon","Pridėti kontaktą","連絡先として追加","Aggiungi come contatto","Tambahkan sebagai kontak","Dodaj u kontakte","संपर्क के रूप में जोड़ें","Agregar como contacto","Ajouter comme contact","Lisää yhteystietoihin","Agregar como Contacto","Προσθήκη ως επαφή","Als Kontakt hinzufügen","Přidat jako kontakt","Afegir com a contacte","Добави като контакт","Pridať ako kontakt","Dodaj u kontakte","Добавить контакт","Додај у Контакте","Dodaj u Kontakte","Adauga ca persoană de Contact","Додати як контакт","Rehbere ekle ","添加為聯絡人","添加为联系人"
"add_contact","Add Contact","Adicionar Contacto","Adicionar o Contato","Dodaj kontakt","Contact toevoegen","Pridėti kontaktą","連絡先を追加","Aggiungi Contatto","Tambahkan kontak","Dodaj kontakt","संपर्क जोड़ें","Engadir contacto","Ajouter un contacts","Lisää yhteystieto","Agregar Contacto","Νέα επαφή","Kontakt hinzufügen","Přidat kontakt","Afegir contacte","Добави контакт","Pridať kontakt","Dodaj kontakt","Добавить контакт","Додај Контакт","Dodaj Kontakt","Adaugă contact","Додати контакт","Kişi Ekle","添加聯絡人","添加联系人"
"add_message_q","Add a Message?","Adicionar uma Mensagem?","Adicionar uma Mensagem?","Chcesz dodać wiadomość?","Een bericht toevoegen?","Pridėti žinutę?","メッセージを追加しますか？","Aggiungi un messaggio?","Tambahkan pesan?","Dodaj poruku?","एक संदेश जोड़ें?","¿Engadir unha mensaxe?","Ajouter un message ?","Lisää viesti?","¿Añadir un Mensaje?","Προσθήκη μηνύματος;","Nachricht hinzufügen?","Přidat zprávu?","Afegir un missatge?","Добави съобщение?","Pridať správu?","Dodaj poruku?","Добавить сообщение?","Додајте Поруку?","Dodajte Poruku?","Doriți sa adăugați un mesaj?","Додати повідомлення?","Mesaj Ekle?","添加一條信息？","添加一条信息？"
"add_note_to_self_q","Add Note to Self?","Adicionar uma anotação pessoal?","Adicionar uma Nota Pessoal?","Chcesz dodać notatkę dla siebie?","Eigen notitie toevoegen?","Pridėti pastabą sau?","自分へのメモを追加しますか。",,"Tambahkan catatan untuk diri sendiri?","Dodajte poruku za sebe?","अपने लिए नोट जोड़ें?",,"Ajouter une note personnelle ?","Lisää viesti itselle?","¿Añadir Nota Personal?","Να προσθέστε τη σημείωση για εσάς;","Erinnerung hinzufügen?","Přidat poznámku do sebe?","Afegir una nota personal?","Добави бележка към себе си?","Pridať poznámku pre seba?","Dodajte poruku za sebe?","Добавить заметку для себя? ","Додајте поруку за себе?","Dodajte poruku za sebe?","Doriți sa adăugați o notiță?","Додати замітку для себе ? ","Kendine bir Not Ekle?","添加自我提醒?","添加自我提醒？"
"add_recipient_to_contacts_q","Add recipient to contacts?","Adicionar o destinatário para contatos?","Adicionar o destinatário para contatos?","Chcesz dodać odbiorcę do kontaktów?","Ontvanger toevoegen aan contactpersonen?","Įtraukti gavėją į kontaktus?","受信者を連絡先に追加しますか？","Aggiungi destinatario ai contatti?","Menambahkan penerima ke kontak?","Dodaj primatelja u kontakte?","प्राप्तकर्ता को संपर्कों में जोड़ें?","¿Engadir destinatario a contactos?","Ajouter le destinataire aux contacts ?","Lisää vastaanottaja yhteystietoihin?","¿Agregar destinatario a contactos?","Προσθήκη αποδέκτη στις επαφές;","Empfänger zu Kontakten hinzufügen?","Přidat příjemce mezi kontakty?","Afegir el destinatari a contactes?","Добави получателя към контактите?","Pridať príjemcu medzi kontakty?","Dodaj primatelja u kontakte?","Добавить получателя в список контактов?","Додати примаоца у контакте?","Dodati primaoca u kontakte?","Doriți să adăugați destinatarul la contacte?","Додати одержувача в список контактів?","Alıcı kişiyi hesaba Ekle?","添加接收者到聯絡人？","添加接收者到联系人？"
"add_sender_as_contact","Add Sender as Contact","Adicionar o Remetente como Contato","Adicionar remetente como contato","Dodaj nadawcę do kontaktów","Afzender toevoegen als contactpersoon","Įtraukti Siuntėją į kontaktus",,,,"Dodajte Pošiljaoca u Kontakte","भेजने वाले को सम्पर्क के रूप में जोड़ें",,"Ajouter l'expéditeur comme Contact",,"Agregar remitente como contacto","Προσθήκη αποστολέα ως επαφή","Absender als Kontakt hinzufügen","Přidat odesílatele jako kontakt","Afegeix l'emissor com a Contacte","Добави подателя към контактите","Pridať odosielateľa do kontaktov","Dodajte Pošiljaoca u Kontakte","Добавить отправителя в контакты","Додајте Пошиљаоца у Контакте","Dodajte Pošiljaoca u Kontakte","Adăugați expeditorul la contacte","Додати посилача в контакти","Gönderen kişiyi Hesaba Ekle","將發送者添加為聯絡人","将发送者添加为联系人"
"add_to_group","Add to Group","Adicionar ao Grupo","Adicionar a Grupo","Dodaj do grupy","Toevoegen aan groep","Įtraukti į grupę","グループに追加","Aggiungi al gruppo","Tambahkan ke Grup","Dodaj u grupu","समूह में जोड़ें","Engadir a grupo","Ajouter au groupe","Lisää ryhmään","Añadir a Grupo","Προσθήκη στην ομάδα","Zur Gruppe hinzufügen","Přidat do skupiny","Afegir al grup","Добави към група","Pridať do skupiny","Dodaj u grupu","Добавить в Группу","Додајте у Групу","Dodajte u Grupu","Adăugați la grup","Додати до групи","Gruba Ekle","添加到群組","添加到群组"
"advanced","advanced","Avançado","avançado","zaawansowane","geavanceerd","Išplėstinis","高度な","avanzato","lanjutan","napredan","उच्च","avanzado","avancé","kehittynyt","avanzado","για προχωρημένους","erweitert","pokročilé","avançat","Допълнително","rozšírené","napredan","Расширенный","напредан","napredan","Avansate","розширений","Gelişmiş","高級","高级"
"advanced_transaction_operations","Advanced Transaction Operations","Operações Avançadas de Transação","Operações Avançadas de Transações","Zaawansowane opcje transakcji","Geavanceerde Transactie Opties","Išplėstinės transakcijų operacijos","高度なトランザクション操作","Operazioni di transazione avanzata","Operasi Maju Transaksi","Napredne transakcijske operacije","उच्च लेनदेन परिचालन","Operacións avanzadas de transaccións","Opérations de transaction avancées","Kehittyneet tapahtumien operaatiot","Operaciones Avanzadas de Transacciones","Προηγμένες λειτουργίες συναλλαγών","Weitere Transaktionsoperationen","Pokročilé operace transakce","Operacions de transacció avançada","Разширени операции със сделки","Pokročilé transakčné operácie","Napredne transakcijske operacije","Расширенные действия с транзакциями","Напредне Трансакцијске Операције","Napredne Transakcijske Operacije","Operații avansate pentru tranzacție","Додаткові дії з транзакціями","Gelişmiş  işlemler","高級交易操作","高级交易操作"
"advanced_uppercase","Advanced","Avançado","Avançado","Zaawansowane","Geavanceerd","Pažangus","高度な",,"Lanjutan","Napredno",,,"Avancé","Kehittynyt","Avanzado","Για προχωρημένους","Fortgeschritten","Více","Avançat","Допълнително","Rozšírené","Napredno","Дополнительно","Напредно","Napredno","Avansate","Додатково","Gelişmiş","高級","高级"
"alias","Alias","Pseudônimo","Álias",,,"Pseudonimas","エイリアス",,,"Pseudonim","अन्य नाम",,,,,"Ψευδώνυμο",,,"Àlies","Псевдоним",,"Pseudonim","Псевдоним","Алиас",,,"Псевдонім","Rumuz","別名","别名"
"Aliases","Aliases",,,"Aliasy","Aliassen","Pseudonimai","エイリアス","Alias","Alias","Pseudonimi","उपनाम",,"Alias","Aliakset","Alias","Ψευδώνυμα","Aliasse","Aliasy","Àlies",,"Aliasy","Pseudonimi","Псевдонимы","Алиаси","Aliasi","Aliasuri","Аліаси","Rumuzlar","別名","别名"
"aliases_owned","Aliases Owned","Pseudônimos que Possui","Aliases em Propriedade","Posiadane aliasy","Uw Aliassen","Turimi pseudonimai","所有されているエイリアス","Alias Posseduti","Alias yang dimiliki","Pseudonimi u posjedu",,"Alias en propiedade","Vos alias","Omistamasi aliakset","Alias en Propiedad","Ψευδώνυμα που ανήκουν","Eigene Aliasse","Vlastněné aliasy","Àlies en Propietat","Собствени псевдоними","Aliasy vo vlastníctve","Pseudonimi u posjedu","Собственные Псевдонимы","Алиаси Које Поседујете","Aliasi Koje Posedujete","Alias-uri Deținute","Власні Аліаси","Sahip olduğunuz Rumuzlar","擁有的別名","拥有的别名"
"aliases_to_account_id","Aliases to Account ID","Pseudônimos para o ID da Conta","Aliases para o ID da conta","Aliasy do ID konta","Alias naar Account ID","Sąskaitos ID pseudonimai","エイリアスからアカウントIDへ","Alias ad Account ID","Alias untuk Account ID","Pseudonimi do račun ID",,"Alias a ID de conta","Lier l'alias à un numéro de compte","Aliakset tilinumeroon","Alias a ID de Cuenta","Ψευδώνυμα του λογαριασμού","Aliase zu Konto-ID","Aliasy k ID účtu","Àlies pel ID del Compte","Псевдоними към сметка ID","Aliasy na ID účtu","Pseudonimi do račun ID","Псевдоним для ID аккаунта","Алиас-и према ИД налогу","Alias-i prema ID nalogu","Alias-urile de la ID-ul contului","Алiаси для ID аккаунта","Hesap ID'si ile özdeştirilen rumuzlar","指向帳戶 ID 的別名","指向帐户 ID 的别名"
"aliases_to_uri","Aliases to URI","Pseudônimos para URI","Alias a URI","Aliasy do URI","Aliassen verwijzen naar URI","Pseudonimai į URI","URLを持つエイリアス","Alias a URI","Alias ke URI","Pseudonimi prema URI",,"Alias a URI","Alias vers URI","Aliakset osoitteeseen","Alias a URI","Ψευδώνυμα σε URI","Aliase zu URI","Aliasy URI","Àlies a URI","Псевдоними към URI","Aliasy pre URI","Pseudonimi prema URI","Псевдонимы для URI","Алиаси према URI","Aliasi prema URI","Alias-uri la URI","Аліаси для URI","URI adressi ile  özdeştirilen rumuzlar","指向 URI 的别名","指向 URI 的别名"
"alias_account_help","The alias will reference the account number entered and can be used to send coins, messages, etc..","O pseudônimo fará referência ao número de conta digitado e pode ser usado para enviar moedas, mensagens, etc..","O alias fará referência ao número de conta digitado e pode ser usado para enviar SIGNA, mensagens, etc..","Alias jest równoważny numerowi konta i może być używany do otrzymywania SIGNA, wiadomości itd..","De alias verwijst naar het ingevoerde rekeningnummer en kan worden gebruikt voor het verzenden van SIGNA, van berichten, enz..","Pseudonimas bus surištas su sąskaitos numeriu ir gali būti naudojamas siųsti SIGNA, žinutes ir t.t...","エイリアスは入力したアカウント番号を参照し、SIGNAやメッセージなどを送る際に使用することができます。","L'alias farà riferimento al numero di conto inserito e può essere utilizzato per inviare SIGNA, messaggi, ecc..","Alias akan referensi nomor rekening yang masuk dan dapat digunakan untuk mengirim SIGNA ke, pesan, dll..","Pseudonim je vezan s unijetim brojem računa i može se koristiti za prihvat poruka, SIGNA-a, itd..","अन्य नाम भरे हुये खाते के नंबर दर्शायेगा और येह SIGNA भेजने, संदेश भेजने आदि...","O alias fará referencia ó número de conta introducido e pode ser empregado para enviarlle SIGNA, mensaxes, etc...","L'alias sera lié au numéro de compte indiqué et pourra être utilisé pour y envoyer des SIGNA, des messages, etc...","Alias viittaa annettuun tilinumeroon, ja siihen voidaan lähettää SIGNA:tä, viestejä, jne..","El alias hará referencia al número de cuenta introducido y se puede enviar a él SIGNA, mensajes, etc..","Το ψευδώνυμο θα παραπέμπει στον αριθμό λογαριασμού που πληκτρολογήσατε και μπορεί να χρησιμοποιηθεί για να στείλετε SIGNA, μηνύματα, κλπ.","Das Alias wird auf die eingegebene Konto-ID verweisen und kann verwendet werden, um beispielsweise SIGNA zu überweisen, Nachrichten zu senden und vieles mehr.","Alias odkazuje na číslo účtu a může být použit pro zaslání SIGNA, zprávy atd..","L'àlies farà referència al número de compte introduït i es pot utilitzar per enviar SIGNA, missatges, etc..","Псевдонимът ще се отнесе към номера на сметката и може да се ползва за изпращане на SIGNA, съобщения и т.н..","Alias bude odkazovať na zadané číslo účtu a može byť využitý na posielanie SIGNA, správ, atď..","Pseudonim je vezan s unijetim brojem računa i može se koristiti za prihvat poruka, SIGNA-a, itd..","Псевдоним будет ссылаться на введенный номер аккаунта и может использоваться для отправки SIGNA, сообщений, и т.д..","Алиас ће бити повезан са унетим бројем налога. Алиас можете користити за слање НXТ-а, порука, итд..","Alias će biti povezan sa unetim brojem naloga. Alias možete koristiti za slanje SIGNA-a, poruka, itd..","Aliasul va reprezenta numărul/adresa de cont inregistrat, și poate fi folosit pentru a trimite SIGNA, mesaje, etc ..la alți utilizatori","Альяс посилатиметься на введений номер аккаунта і може використовуватися для відправки SIGNA, повідомлень, і т.д..","Hesap için kullanılan rumuz,  SIGNA ve mesaj gönderilmek için kullanılabilir. ","別名將與輸入的賬號相關聯，可用來發送SIGNA、信息等。","别名将与输入的账号相关联，可用来发送SIGNA、信息等。"
"alias_account_link","The alias links to account <strong>__account_id__</strong>","O pseudônimo aponta para a conta __account_id__","O alias conecta com a conta <strong>__account_id__</strong>","Alias linkuje do konta <strong>__account_id__</strong>","Deze alias linkt naar account <strong>__account_id__</strong>","Pseudonimas susietas su <strong>__account_id__</strong>","エイリアスは<strong>__account_id__</strong>のアカウントにリンクしています。","L'alias collega all'account <strong>__account_id__</strong>","Alias link ke rekening <strong>__account_id__</strong>","Poveznice pseudonima prema računu <strong>__account_id__</strong>","__account_id__ खाते के लिए उपनाम लिंक्स","O Alias enlaza á conta <strong>__account_id__</strong>","Cet alias est lié au compte <strong>__account_id__</strong>","Alias osoittaa tiliin <strong>__account_id__</strong>","El alias enlaza a la cuenta <strong>__account_id__</strong>","Το ψευδώνυμο συνδέσεις αναφέρεται στο __account_id__","Das Alias ist mit dem Konto <strong>__account_id__</strong> verknüpft.","Alias odkazuje na účet __account_id__","L'àlies enllaça amb el compte __account_id__","Псевдонимът има връзка с  __account_id__","Alias odkazuje na účet <strong>__account_id__</strong>","The alias links to account <strong>__account_id__</strong>","Этот Псевдоним принадлежит аккаунту <strong>__account_id__</strong>","Алиас је повезан са налогом <strong>__account_id__</strong>","Alias je povezan sa nalogom <strong>__account_id__</strong>","Alias-ul este atașat contulului __account_id__","Цей альяс належить аккаунту <strong>__account_id__</strong>","__account_id__ rumuzlu hesap için bağlantı ","該別名的關聯賬號是 <strong>__account_id__</strong>","该别名的关联账号是 <strong>__account_id__</strong>"
"alias_account_no_link","The alias does not link to an account. ","O pseudônimo não aponta para uma conta. ","O alias não vincula a nenhuma conta. ","Alias nie linkuje do żadnego konta. ","Deze alias is niet aan een account gekoppeld. ","Pseudonimas neturi ryšio su sąskaita. ","エイリアスはアカウントにリンクされません。","L'alias non è collegato ad un account. ","Alias tidak menautkan dengan akun. ","Pseudonim nema poveznicu na račun. ","अन्य नाम किसी खाते से नहीं जुड़ा है। ","O Alias non enlaza a ningunha conta. ","L'alias n'est lié à aucun compte. ","Aliasta ei ole linkitetty tiliin. ","El alias no enlaza a ninguna cuenta. ","Το ψευδώνυμο δεν αναφέρεται σε έναν λογαριασμό. ","Das Alias Ist nicht mit einem Konto verknüpft. ","Alias neodkazuje na žádný účet. ","L'àlies no està enllaçat amb cap compte. ","Псевдонимът няма връзка със сметка. ","Alias neodkazuje na žiadny účet. ","Pseudonim nema poveznicu na račun. ","Псевдоним не принадлежит учетной записи. ","Алиас није повезан ни са једним налогом. ","Alias nije povezan ni sa jednim nalogom. ","Alias-ul nu este atașat niciunui cont","Псевдонім не належить обліковому запису. ","Rumuz hiçbir hesaba bağlantılı değildir.","該別名沒有鏈接到帳戶。","该别名没有链接到帐户。"
"alias_assignment","Alias Assignment","Atribuição de Pseudônimo","Atribuição de Alias","Przydział aliasu","Toewijzing van de alias","Pseudonimo priskyrimas","エイリアスの割り当て","Assegnazione di alias","Alias tugas","Dodjeljivanje pseudonima","अन्य नाम सौंपना","Asignar Alias","Affectation de l'alias","Aliaksen asetus","Asignar Alias","Καταχώρηση του ψευδωνύμου","Alias-Definition","Přiřazení aliasu","Assignació d'àlies","Присвояване на псевдоним","Priradenie aliasu","Dodjeljivanje pseudonima","Псевдоним присвоен","Додељивање Алиаса","Dodeljivanje Aliasa","Atribuire Alias","Альяс присвоєний","Rumuz belirleme","別名分配","别名转让"
"alias_buy","Alias Buy","Compra de Pseudônimo","Comprar Alias","Kup alias","Alias aankoop","Pseudonimo pirkimas","エイリアスの購入","Acquista Alias","Membeli alias","Kupovina pseudonima","अन्य नाम खरीदें","Compra de Alias","Acheter un alias","Aliaksen osto","Comprar Alias","αγορά ψευδώνυμου","Alias kaufen","Koupit alias","Comprar Àlies","Купи псевдоним","Kúpiť alias","Kupovina pseudonima","Купить псевдоним","Kupi Алиас","Kupi Alias","Cumpărare alias","Купити Альяс","Rumuz al","購買別名","购买别名"
"alias_data_help","The alias can contain any data you want.","O pseudônimo pode conter quaisquer dados que você quiser.","O alias pode conter os dados que você desejar.","Alias może zawierać dowolne dane.","De alias kan alle gegevens die u wilt bevatten.","Pseudonime gali būti bet kokie duomenys.","エイリアスには、あなたが必要なデータを含めることができます。","L'Alias può contenere qualunque tipo di dati.","Alias ​​bisa berisi data apapun yang anda mau.","Za pseudonim možete odabrati bilo koji podatak.","अन्य नाम में आप जो चाहे वोह विवरण डाल सकते हैं।","Pseudonim (alias) može sadržavati bilo koji odabrani podatak.","L'alias peut contenir n'importe quelle donnée.","Alias voi sisältää mitä tahansa dataa haluat.","El alias puede contener los datos que desee.","Το ψευδώνυμο μπορεί να περιέχει οποιαδήποτε δεδομένα που θέλετε.","Das Alias kann beliebige Daten enthalten.","Alias může obsahovat jakákoli data, dle vaší volby.","L'àlies pot contenir les dades que vulguis.","Псевдонимът може да съдържа всякакви данни, които искате.","Alias môže obsahovať akékoľvek požadované údaje.","Za pseudonim možete odabrati bilo koji podatak.","Псевдоним может содержать любые данные, какие вы хотите.","Алиас не може садржати податке које желите.","Alias ne može sadržati podatke koje želite.","Alias-ul poate conține orice fel de date doriți","Псевдонім може містити будь-які дані, які ви хочете.","Rumuz herhangi bir bilgiyi içerebilir.","別名可以包含您想要的任何數據。","别名可以包含您想要的任何数据。"
